gene_description,gene_rank
" ERCC excision repair 5, endonuclease",1
 ER degradation enhancing alpha-mannosidase like protein 3,1
 ER degradation enhancing alpha-mannosidase like protein 2,1
 ER degradation enhancing alpha-mannosidase like protein 1,1
 EPH receptor B6,1
 EPH receptor B4,1
 EPH receptor B3,1
 EPH receptor B2,1
 stress induced phosphoprotein 1,1
 stromal antigen 1,1
 stromal antigen 2,1
 stromal antigen 3,1
 EPH receptor B1,1
 stromal interaction molecule 2,1
 EPH receptor A8,1
 EPH receptor A7,1
 survival motor neuron domain containing 1,1
 DnaJ heat shock protein family (Hsp40) member C1,1
 synaptic Ras GTPase activating protein 1,1
 synaptic vesicle glycoprotein 2A,1
 syntaxin binding protein 1,1
 synthesis of cytochrome C oxidase 2,1
 DNA polymerase iota,1
 tRNA isopentenyltransferase 1,1
 tRNA-Ala,1
 tRNA-Arg,1
 tRNA-Asn,1
 tRNA-Asp,1
 tRNA-Cys,1
 tRNA-Gln,1
 tRNA-Glu,1
 tRNA-Gly,1
 tRNA-His,1
 tRNA-Ile,1
 tRNA-Lys,1
 tRNA-Met,1
 tRNA-Phe,1
 tRNA-Pro,1
" DNA polymerase alpha 2, accessory subunit",1
 tRNA-Thr,1
 tRNA-Trp,1
 tRNA-Tyr,1
 tRNA-Val,1
 tachykinin precursor 1,1
 tachykinin precursor 3,1
 syntaxin 8,1
 DNA polymerase mu,1
 syntaxin 6,1
 syndecan 3,1
 synaptic vesicle glycoprotein 2B,1
 synaptic vesicle glycoprotein 2C,1
 DnaJ heat shock protein family (Hsp40) member B2,1
 DnaJ heat shock protein family (Hsp40) member B12,1
 synaptonemal complex protein 3,1
 synaptopodin,1
 DnaJ heat shock protein family (Hsp40) member B11,1
 DnaJ heat shock protein family (Hsp40) member A3,1
 synaptotagmin 1,1
 DnaJ heat shock protein family (Hsp40) member A2,1
 DnaJ heat shock protein family (Hsp40) member A1,1
 syntaxin 10,1
 syntaxin 5,1
 syntaxin 11,1
 syntaxin 12,1
 syntaxin 16,1
 DNA topoisomerase II binding protein 1,1
 DNA topoisomerase II beta,1
 syntaxin 19,1
 DNA topoisomerase II alpha,1
 DNA replication helicase/nuclease 2,1
 DNA primase subunit 2,1
 DNA primase subunit 1,1
 DNA polymerase nu,1
 splicing factor 3b subunit 5,1
 splicing factor 3b subunit 4,1
 splicing factor 3b subunit 3,1
 sorting nexin 12,1
 solute carrier family 7 member 1,1
 solute carrier family 7 member 11,1
 FUN14 domain containing 1,1
 solute carrier family 7 member 7,1
 solute carrier family 7 member 8,1
 solute carrier family 7 member 9,1
 FRAS1 related extracellular matrix 2,1
 FRAS1 related extracellular matrix 1,1
" FOS like 2, AP-1 transcription factor subunit",1
 FKBP prolyl isomerase 5,1
 FKBP prolyl isomerase 4,1
 solute carrier family 9 member A4,1
 solute carrier family 9 member A6,1
 solute carrier family 9 member A7,1
 solute carrier organic anion transporter family member 1A2,1
 solute carrier organic anion transporter family member 1B1,1
 solute carrier organic anion transporter family member 1B3,1
 solute carrier organic anion transporter family member 1C1,1
" FGR proto-oncogene, Src family tyrosine kinase",1
" FEV transcription factor, ETS family member",1
" FES proto-oncogene, tyrosine kinase",1
 somatostatin receptor 4,1
 FERM domain containing kindlin 3,1
 FER tyrosine kinase,1
 FCF1 rRNA-processing protein,1
 solute carrier family 6 member 9,1
 solute carrier family 6 member 7,1
 solute carrier family 6 member 5,1
 Fraser extracellular matrix complex subunit 1,1
 G protein pathway suppressor 2,1
 solute carrier family 4 member 1 (Diego blood group),1
 G protein nucleolar 3 like,1
 G protein nucleolar 3,1
 solute carrier family 4 member 5,1
 G protein nucleolar 2,1
 solute carrier family 44 member 1,1
 solute carrier family 44 member 2,1
 solute carrier family 44 member 3,1
 solute carrier family 44 member 4,1
 solute carrier family 44 member 5,1
" Fli-1 proto-oncogene, ETS transcription factor",1
 FXYD domain containing ion transport regulator 1,1
 solute carrier family 5 member 5,1
 solute carrier family 5 member 6,1
 solute carrier family 51 subunit alpha,1
 solute carrier family 51 subunit beta,1
 solute carrier family 52 member 3,1
 Fas associated factor 1,1
" FYVE, RhoGEF and PH domain containing 3",1
" FYVE, RhoGEF and PH domain containing 1",1
 FYVE and coiled-coil domain autophagy adaptor 1,1
 solute carrier family 6 member 2,1
 FXYD domain containing ion transport regulator 4,1
 sorting nexin 1,1
 sorting nexin 18,1
 splicing factor 3b subunit 2,1
 sorting nexin 2,1
 spermatogenesis associated 2 like,1
 spermatogenesis associated 5,1
 F-box protein 5,1
 F-box protein 43,1
 F-box protein 4,1
 F-box protein 32,1
 F-box protein 25,1
 F-box protein 22,1
 F-box and leucine rich repeat protein 3,1
 F-box and WD repeat domain containing 8,1
 F-box and WD repeat domain containing 7,1
 EvC ciliary complex subunit 2,1
 EvC ciliary complex subunit 1,1
 Enah/Vasp-like,1
 EYA transcriptional coactivator and phosphatase 1,1
 EWS RNA binding protein 1,1
 ETS variant transcription factor 7,1
 ETS variant transcription factor 6,1
 ETS variant transcription factor 4,1
 ETS variant transcription factor 1,1
" spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP",1
 splicing factor 3a subunit 1,1
 splicing factor 3a subunit 2,1
 splicing factor 3a subunit 3,1
 splicing factor 3b subunit 1,1
 spermatogenesis associated 2,1
 spermatogenesis associated 13,1
 F-box protein 6,1
" spectrin alpha, non-erythrocytic 1",1
 sorting nexin 3,1
 sorting nexin 32,1
 sorting nexin 33,1
 sorting nexin 4,1
 sorting nexin 5,1
 sorting nexin 6,1
 sorting nexin 9,1
 spartin,1
 speckle type BTB/POZ protein,1
 speckle type BTB/POZ protein like,1
" spectrin alpha, erythrocytic 1",1
 FAT atypical cadherin 4,1
 FA complementation group A,1
 FANCD2 and FANCI associated nuclease 1,1
 FA core complex associated protein 24,1
 FA core complex associated protein 100,1
 FA complementation group M,1
 FA complementation group I,1
 FA complementation group G,1
 FA complementation group F,1
 FA complementation group E,1
 FA complementation group D2,1
 FA complementation group C,1
 FA complementation group B,1
 tachykinin precursor 4,1
" DNA polymerase alpha 1, catalytic subunit",1
 DNA ligase 4,1
 treacle ribosome biogenesis factor 1,1
 CCR4-NOT transcription complex subunit 4,1
 CCR4-NOT transcription complex subunit 3,1
 transient receptor potential cation channel subfamily V member 3,1
 CCR4-NOT transcription complex subunit 2,1
 CCR4-NOT transcription complex subunit 10,1
 CCR4-NOT transcription complex subunit 1,1
 CCAAT enhancer binding protein gamma,1
 CAP-Gly domain containing linker protein 1,1
 translocase of outer mitochondrial membrane 7,1
 C1D nuclear receptor corepressor,1
 translocation associated membrane protein 1,1
 translocation associated membrane protein 1 like 1,1
 C-type lectin domain family 4 member D,1
 transmembrane BAX inhibitor motif containing 6,1
 C-type lectin domain family 2 member B,1
 transmembrane p24 trafficking protein 10,1
 transmembrane protein 33,1
 C-type lectin domain family 1 member B,1
 transmembrane serine protease 11D,1
 C-type lectin domain containing 6A,1
 transmembrane serine protease 4,1
 C-terminal Src kinase,1
 transportin 1,1
 transportin 2,1
 transportin 3,1
 transient receptor potential cation channel subfamily M member 8,1
 CCR4-NOT transcription complex subunit 6,1
 transient receptor potential cation channel subfamily M member 6,1
 CD24 molecule,1
 transcriptional adaptor 3,1
" transducer of ERBB2, 1",1
" transducer of ERBB2, 2",1
 transducin beta like 1 X-linked,1
 transducin beta like 1 Y-linked,1
 transducin beta like 3,1
 CD33 molecule,1
 CD276 molecule,1
 transformation/transcription domain associated protein,1
 CD27 molecule,1
 CD244 molecule,1
 CD226 molecule,1
 transient receptor potential cation channel subfamily M member 5,1
 CD200 receptor 1 like,1
 CD200 receptor 1,1
 transglutaminase 2,1
 transient receptor potential cation channel subfamily A member 1,1
 CD2 associated protein,1
 CD164 molecule,1
 CCR4-NOT transcription complex subunit 9,1
 CCR4-NOT transcription complex subunit 8,1
 CCR4-NOT transcription complex subunit 7,1
 CCR4-NOT transcription complex subunit 6 like,1
 transient receptor potential cation channel subfamily M member 4,1
 transthyretin,1
 trefoil factor 1,1
 transcription termination factor 1,1
 C-X-C motif chemokine ligand 17,1
 BIVM-ERCC5 readthrough,1
 BCL2 like 2,1
 BCL2 interacting protein 3 like,1
 BCL2 interacting protein 1,1
 BCL2 interacting killer,1
 BCL2 family apoptosis regulator BOK,1
 tubulin gamma 1,1
 tubulin gamma 2,1
 BCAS2 pre-mRNA processing factor,1
 BAR/IMD domain containing adaptor protein 2 like 1,1
 tumor protein p53 binding protein 1,1
 tumor protein p53 binding protein 2,1
 tumor protein p53 inducible nuclear protein 2,1
 tumor protein p53 inducible protein 3,1
 BAI1 associated protein 3,1
 tumor protein p63,1
 BAG cochaperone 4,1
 BAG cochaperone 2,1
 tumor susceptibility 101,1
 twinkle mtDNA helicase,1
 twist family bHLH transcription factor 1,1
 twist family bHLH transcription factor 2,1
 two pore segment channel 1,1
 BAG cochaperone 1,1
 BAF chromatin remodeling complex subunit BCL11B,1
 BMP2 inducible kinase,1
 BMS1 ribosome biogenesis factor,1
 BRCA1 associated RING domain 1,1
 tripeptidyl peptidase 1,1
 tribbles pseudokinase 3,1
 triggering receptor expressed on myeloid cells 2,1
 Bet1 golgi vesicular membrane trafficking protein like,1
 Bet1 golgi vesicular membrane trafficking protein,1
 Bcl2 modifying factor,1
 tripartite motif containing 21,1
 BUD31 homolog,1
 tripartite motif containing 32,1
 tripartite motif containing 37,1
 tripartite motif containing 5,1
 tripartite motif containing 71,1
 BTG anti-proliferation factor 4,1
 BRCA1 associated protein,1
 BTG anti-proliferation factor 3,1
 BTG anti-proliferation factor 2,1
" troponin C2, fast skeletal type",1
 BTG anti-proliferation factor 1,1
 BRISC and BRCA1 A complex member 2,1
 tryptase alpha/beta 1,1
 tryptase beta 2,1
 tryptase delta 1,1
 BRISC and BRCA1 A complex member 1,1
" tryptophanyl tRNA synthetase 2, mitochondrial",1
 tryptophanyl-tRNA synthetase 1,1
 transcription termination factor 2,1
 transcription factor EB,1
" tafazzin, phospholipid-lysophospholipid transacylase",1
 DEAD-box helicase 23,1
 taste 2 receptor member 9,1
 DLG associated protein 1,1
 tectonin beta-propeller repeat containing 1,1
 DIS3 like exosome 3'-5' exoribonuclease,1
" DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease",1
 DExH-box helicase 58,1
 DET1 partner of COP1 E3 ubiquitin ligase,1
" DEP domain containing 5, GATOR1 subcomplex subunit",1
 DEAH-box helicase 8,1
 terminal nucleotidyltransferase 4A,1
 terminal nucleotidyltransferase 4B,1
 tetraspanin 7,1
 tetratricopeptide repeat domain 37,1
 DEAH-box helicase 38,1
 DEAH-box helicase 36,1
 DEAH-box helicase 33,1
 DEAH-box helicase 16,1
 thioesterase superfamily member 5,1
 thiopurine S-methyltransferase,1
 DEAH-box helicase 15,1
 DEAD-box helicase 6,1
 DEAD-box helicase 46,1
 thioredoxin domain containing 5,1
 thioredoxin interacting protein,1
 thioredoxin like 4A,1
 taste 2 receptor member 8,1
 taste 2 receptor member 7,1
 taste 2 receptor member 60,1
 taste 2 receptor member 3,1
 DNA ligase 3,1
 DNA fragmentation factor subunit beta,1
 taste 1 receptor member 1,1
 DNA fragmentation factor subunit alpha,1
 taste 2 receptor member 1,1
 taste 2 receptor member 10,1
 taste 2 receptor member 13,1
 taste 2 receptor member 14,1
 taste 2 receptor member 16,1
 taste 2 receptor member 19,1
 taste 2 receptor member 20,1
 taste 2 receptor member 30,1
 taste 2 receptor member 50,1
 taste 2 receptor member 31,1
 taste 2 receptor member 38,1
 taste 2 receptor member 39,1
 taste 2 receptor member 4,1
 taste 2 receptor member 40,1
 taste 2 receptor member 41,1
 taste 2 receptor member 42,1
 taste 2 receptor member 43,1
 taste 2 receptor member 45,1
 taste 2 receptor member 46,1
 taste 2 receptor member 5,1
 DEAD-box helicase 42,1
 three prime repair exonuclease 1,1
 transcription factor Dp-2,1
 threonyl-tRNA synthetase 1,1
 toll interacting protein,1
 CDC like kinase 4,1
 CDC like kinase 1,1
 CD9 molecule,1
 CD82 molecule,1
 CD79b molecule,1
 CD72 molecule,1
 CD70 molecule,1
 CD7 molecule,1
 trace amine associated receptor 1,1
 trace amine associated receptor 2,1
 trace amine associated receptor 5,1
 trace amine associated receptor 6,1
 trace amine associated receptor 8,1
 trace amine associated receptor 9,1
 CD68 molecule,1
 trafficking kinesin protein 2,1
 CD6 molecule,1
 transcobalamin 2,1
 transcription elongation regulator 1,1
 CD5 molecule,1
 CD48 molecule,1
 CD47 molecule,1
 transcription factor AP-4,1
 CD37 molecule,1
 tissue factor pathway inhibitor,1
 tight junction protein 3,1
 CENPS-CORT readthrough,1
 thymine DNA glycosylase,1
" threonyl-tRNA synthetase 2, mitochondrial",1
 threonyl-tRNA synthetase 3,1
 DDB1 and CUL4 associated factor 1,1
 DBF4 zinc finger,1
 DAZ associated protein 1,1
 DAB adaptor protein 2,1
 DAB adaptor protein 1,1
 thrombospondin type 1 domain containing 4,1
 Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2,1
 CXXC finger protein 4,1
 CXADR Ig-like cell adhesion molecule,1
 thymosin beta 4 X-linked,1
 tight junction associated protein 1,1
 thymosin beta 4 Y-linked,1
 CWC15 spliceosome associated protein homolog,1
 CREB regulated transcription coactivator 3,1
 CREB regulated transcription coactivator 1,1
 thyroid hormone receptor interactor 10,1
 thyroid hormone receptor interactor 12,1
 thyroid hormone receptor interactor 6,1
 CLN5 intracellular trafficking protein,1
" CLN3 lysosomal/endosomal transmembrane protein, battenin",1
 thyrotropin releasing hormone,1
 CGRP receptor component,1
 EPH receptor A4,1
 UL16 binding protein 2,1
 prominin 1,1
 cholinergic receptor nicotinic delta subunit,1
 microRNA 133a-1,1
 microRNA 133a-2,1
 microRNA 133b,1
 microRNA 135a-1,1
 microRNA 135a-2,1
 microRNA 135b,1
 microRNA 137,1
 microRNA 143,1
 microRNA 145,1
 microRNA 146a,1
 microRNA 150,1
 microRNA 152,1
 microRNA 155,1
 microRNA 15a,1
 microRNA 15b,1
 microRNA 16-1,1
 microRNA 16-2,1
 microRNA 17,1
 microRNA 181a-1,1
 microRNA 181a-2,1
 microRNA 181b-1,1
 microRNA 181b-2,1
 microRNA 181c,1
 microRNA 181d,1
 microRNA 183,1
 microRNA 129-2,1
 microRNA 129-1,1
 microRNA 128-2,1
 microRNA 103b-1,1
 cholinergic receptor nicotinic beta 1 subunit,1
 cholinergic receptor nicotinic alpha 5 subunit,1
 cholinergic receptor nicotinic alpha 2 subunit,1
 cholinergic receptor nicotinic alpha 10 subunit,1
 microRNA 1-1,1
 microRNA 1-2,1
 microRNA 100,1
 microRNA 101-1,1
 microRNA 101-2,1
 microRNA 103a-1,1
 microRNA 103a-2,1
 microRNA 103b-2,1
 microRNA 128-1,1
 microRNA 106b,1
 microRNA 107,1
 cholinergic receptor nicotinic alpha 1 subunit,1
 microRNA 122,1
 microRNA 124-1,1
 microRNA 124-2,1
 microRNA 124-3,1
 microRNA 125a,1
 microRNA 125b-1,1
 microRNA 125b-2,1
 microRNA 126,1
 microRNA 18a,1
 microRNA 192,1
 microRNA 193b,1
 microRNA 30a,1
 microRNA 25,1
 microRNA 26a-1,1
 microRNA 26a-2,1
 microRNA 26b,1
 microRNA 27a,1
 microRNA 27b,1
 microRNA 28,1
 cholesterol 25-hydroxylase,1
 chloride voltage-gated channel Kb,1
 chloride voltage-gated channel 5,1
 chloride voltage-gated channel 4,1
 microRNA 30b,1
 microRNA 23b,1
 microRNA 30c-1,1
 microRNA 30c-2,1
 microRNA 30d,1
 microRNA 30e,1
 microRNA 31,1
 microRNA 32,1
 microRNA 324,1
 microRNA 326,1
 microRNA 330,1
 microRNA 331,1
 microRNA 335,1
 microRNA 23c,1
 microRNA 23a,1
 microRNA 194-1,1
 microRNA 203a,1
 microRNA 194-2,1
 microRNA 195,1
 microRNA 199a-1,1
 microRNA 199a-2,1
 microRNA 199b,1
 microRNA 19a,1
 microRNA 19b-1,1
 microRNA 19b-2,1
 microRNA 200a,1
 microRNA 200b,1
 microRNA 200c,1
 microRNA 203b,1
 microRNA 224,1
 microRNA 205,1
 microRNA 206,1
 microRNA 20a,1
 cholesteryl ester transfer protein,1
 microRNA 210,1
 microRNA 214,1
 microRNA 215,1
 microRNA 217,1
 microRNA 221,1
 microRNA 222,1
 microRNA 223,1
 cholinergic receptor nicotinic beta 3 subunit,1
 cholinergic receptor nicotinic epsilon subunit,1
 microRNA 345,1
 cholinergic receptor nicotinic gamma subunit,1
 collagen type X alpha 1 chain,1
 collagen type VIII alpha 2 chain,1
 collagen type VIII alpha 1 chain,1
 collagen type VII alpha 1 chain,1
 collagen type V alpha 3 chain,1
 collagen type V alpha 2 chain,1
 collagen type V alpha 1 chain,1
 colipase,1
 coiled-coil-helix-coiled-coil-helix domain containing 10,1
 coiled-coil domain containing 12,1
 cobalamin binding intrinsic factor,1
 coagulation factor XII,1
 coagulation factor XI,1
 coagulation factor X,1
 coagulation factor VIII,1
 coagulation factor VII,1
 mannosidase alpha class 2B member 2,1
 mannosidase alpha class 2C member 1,1
 coagulation factor V,1
 coagulation factor IX,1
 coactivator associated arginine methyltransferase 1,1
 matrin 3,1
 clusterin,1
 cleavage stimulation factor subunit 3,1
 matrix metallopeptidase 15,1
 collagen type XI alpha 1 chain,1
 collagen type XI alpha 2 chain,1
 collagen type XII alpha 1 chain,1
 collagen type XXVI alpha 1 chain,1
 complement factor H related 2,1
 macrophage receptor with collagenous structure,1
 macrophage scavenger receptor 1,1
 macrophage stimulating 1,1
 macrophage stimulating 1 receptor,1
 complement factor H related 1,1
 major facilitator superfamily domain containing 8,1
 collectin subfamily member 12,1
 collectin subfamily member 11,1
 collagen type XXVIII alpha 1 chain,1
 collagen type XXVII alpha 1 chain,1
 collagen type XXV alpha 1 chain,1
 collagen type XIII alpha 1 chain,1
 collagen type XXIV alpha 1 chain,1
 collagen type XXIII alpha 1 chain,1
 collagen type XXII alpha 1 chain,1
 collagen type XXI alpha 1 chain,1
 collagen type XX alpha 1 chain,1
 collagen type XVIII alpha 1 chain,1
 collagen type XVII alpha 1 chain,1
 collagen type XVI alpha 1 chain,1
 collagen type XV alpha 1 chain,1
 collagen type XIX alpha 1 chain,1
 collagen type XIV alpha 1 chain,1
 cleavage stimulation factor subunit 2 tau variant,1
 matrix metallopeptidase 17,1
 cleavage stimulation factor subunit 2,1
 metallothionein 1B,1
 cingulin,1
" membrane associated guanylate kinase, WW and PDZ domain containing 3",1
 membrane associated ring-CH-type finger 6,1
 membrane bound O-acyltransferase domain containing 7,1
" membrane bound transcription factor peptidase, site 1",1
" membrane bound transcription factor peptidase, site 2",1
 membrane spanning 4-domains A1,1
 meprin A subunit alpha,1
 meprin A subunit beta,1
 metabolism of cobalamin associated C,1
 metallothionein 1A,1
 metallothionein 1E,1
 cleavage and polyadenylation specific factor 1,1
 metallothionein 1F,1
 metallothionein 1G,1
 metallothionein 1H,1
 metallothionein 1H like 1,1
 metallothionein 1M,1
 metallothionein 1X,1
 metallothionein 2A,1
 chromodomain helicase DNA binding protein 8,1
 chromobox 3,1
 chordin,1
" methyl-CpG binding domain 4, DNA glycosylase",1
 cingulin like 1,1
 melanocortin 5 receptor,1
 matrix metallopeptidase 24,1
 mediator complex subunit 16,1
 matrix metallopeptidase 25,1
 cleavage stimulation factor subunit 1,1
 cleavage factor polyribonucleotide kinase subunit 1,1
 cleavage and polyadenylation specific factor 7,1
 mature T cell proliferation 1,1
 cleavage and polyadenylation specific factor 6,1
 mediator complex subunit 12,1
 mediator complex subunit 12L,1
 mediator complex subunit 13,1
 mediator complex subunit 13L,1
 mediator complex subunit 14,1
 mediator complex subunit 17,1
 melanocortin 4 receptor,1
 mediator complex subunit 24,1
 mediator complex subunit 27,1
 mediator complex subunit 30,1
 mediator complex subunit 4,1
 megakaryocyte-associated tyrosine kinase,1
 meiosis regulator for oocyte development,1
 melanin concentrating hormone receptor 1,1
 melanin concentrating hormone receptor 2,1
 cleavage and polyadenylation specific factor 3,1
 cleavage and polyadenylation specific factor 2,1
 melanocortin 3 receptor,1
 microRNA 342,1
 microRNA 34a,1
 complement factor H related 4,1
 catenin beta like 1,1
" mucin 5AC, oligomeric mucus/gel-forming",1
 carboxypeptidase E,1
" mucin 7, secreted",1
 mucolipin TRP cation channel 2,1
 mucolipin TRP cation channel 3,1
 multiple EGF like domains 8,1
 multiple PDZ domain crumbs cell polarity complex component,1
 multivesicular body subunit 12A,1
 multivesicular body subunit 12B,1
 musashi RNA binding protein 1,1
 musashi RNA binding protein 2,1
 carboxymethylenebutenolidase homolog,1
 carboxylesterase 2,1
 mutL homolog 3,1
 carboxylesterase 1,1
 mutY DNA glycosylase,1
 myelin associated glycoprotein,1
 myelin protein zero,1
 myelin protein zero like 1,1
 myeloid leukemia factor 1,1
 myogenic differentiation 1,1
 myogenic factor 5,1
 myosin IA,1
 myosin IB,1
 myosin IC,1
 msh homeobox 2,1
 msh homeobox 1,1
 motor neuron and pancreas homeobox 1,1
 caspase recruitment domain family member 10,1
 mitogen-activated protein kinase kinase kinase 20,1
 caspase recruitment domain family member 8,1
 caspase recruitment domain family member 6,1
 caspase recruitment domain family member 18,1
 mitogen-activated protein kinase kinase kinase 6,1
 caspase recruitment domain family member 16,1
 caspase recruitment domain family member 14,1
 mitogen-activated protein kinase kinase kinase kinase 1,1
 mitogen-activated protein kinase kinase kinase kinase 2,1
 mitogen-activated protein kinase kinase kinase kinase 3,1
 mitogen-activated protein kinase kinase kinase kinase 4,1
 caspase 2,1
 motilin receptor,1
 modulator of smoothened,1
 caseinolytic mitochondrial matrix peptidase chaperone subunit B,1
 casein kinase 1 gamma 3,1
 casein kinase 1 gamma 2,1
 casein kinase 1 gamma 1,1
 molybdenum cofactor synthesis 3,1
 casein beta,1
 carnitine O-octanoyltransferase,1
 carnitine O-acetyltransferase,1
 cardiotrophin like cytokine factor 1,1
 motilin,1
 myosin ID,1
 myosin IE,1
 myosin IF,1
 nectin cell adhesion molecule 4,1
 calcyclin binding protein,1
 calcium/calmodulin dependent protein kinase kinase 1,1
 calcium homeostasis modulator 1,1
 calcium homeostasis endoplasmic reticulum protein,1
 napsin A aspartic peptidase,1
 nascent polypeptide associated complex subunit alpha,1
 natural cytotoxicity triggering receptor 1,1
 natural cytotoxicity triggering receptor 2,1
 natural cytotoxicity triggering receptor 3,1
 calbindin 1,1
 cadherin 4,1
 nei like DNA glycosylase 1,1
 caldesmon 1,1
 nei like DNA glycosylase 2,1
 nei like DNA glycosylase 3,1
 cadherin 3,1
 nephronectin,1
 cadherin 17,1
 cadherin 15,1
 netrin 1,1
 netrin 3,1
 netrin 4,1
 cAMP-dependent protein kinase inhibitor alpha,1
 cAMP responsive element modulator,1
 calcyon neuron specific vesicular protein,1
 calpain small subunit 1,1
 myosin IG,1
 carbohydrate sulfotransferase 13,1
 myosin IH,1
 myosin VA,1
 myosin VB,1
 myosin VC,1
 carbohydrate sulfotransferase 7,1
 carbohydrate sulfotransferase 6,1
 carbohydrate sulfotransferase 4,1
 carbohydrate sulfotransferase 3,1
 carbohydrate sulfotransferase 2,1
 carbohydrate sulfotransferase 15,1
 carbohydrate sulfotransferase 14,1
 carbohydrate sulfotransferase 12,1
 calpastatin,1
 carbohydrate sulfotransferase 11,1
 carbohydrate sulfotransferase 1,1
 capping actin protein of muscle Z-line subunit beta,1
 capping actin protein of muscle Z-line subunit alpha 3,1
 capping actin protein of muscle Z-line subunit alpha 2,1
 capping actin protein of muscle Z-line subunit alpha 1,1
 capicua transcriptional repressor,1
 cannabinoid receptor 2,1
 calsequestrin 1,1
 myosin regulatory light chain interacting protein,1
 myostatin,1
 catenin beta interacting protein 1,1
 mitogen-activated protein kinase kinase kinase 13,1
 microRNA 34b,1
 mitogen-activated protein kinase kinase kinase 12,1
 chloride voltage-gated channel 3,1
 chloride voltage-gated channel 2,1
 microRNA let-7c,1
" chibby family member 1, beta catenin antagonist",1
 microsomal triglyceride transfer protein,1
 midasin AAA ATPase 1,1
 midline 1,1
" cerberus 1, DAN family BMP antagonist",1
 centromere protein X,1
 centromere protein S,1
 centrin 2,1
 cellular communication network factor 4,1
 mitochondrial inner membrane protein MPV17,1
 cell division cycle associated 5,1
 mitochondrial pyruvate carrier 1,1
 mitochondrial pyruvate carrier 1 like,1
 mitochondrial pyruvate carrier 2,1
 mitochondrial ribosomal protein L1,1
 mitochondrial ribosomal protein L10,1
 mitochondrial ribosomal protein L11,1
 mitochondrial ribosomal protein L12,1
 mitochondrial ribosomal protein L13,1
 mitochondrial ribosomal protein L14,1
 mitochondrial ribosomal protein L15,1
 mitochondrial ribosomal protein L16,1
 microRNA 99a,1
 microRNA 96,1
 microRNA 92a-2,1
 microRNA 520c,1
 microRNA 34c,1
 microRNA 363,1
 microRNA 373,1
 microRNA 375,1
 microRNA 423,1
 microRNA 449a,1
 microRNA 451a,1
 microRNA 483,1
 microRNA 494,1
 microRNA 520a,1
 microRNA 520b,1
 microRNA 520e,1
 microRNA 92a-1,1
 microRNA 520g,1
 microRNA 520h,1
 microRNA 602,1
 microRNA 615,1
 microRNA 625,1
 microRNA 7-1,1
 microRNA 7-2,1
 microRNA 7-3,1
 microRNA 9-1,1
 microRNA 9-2,1
 microRNA 9-3,1
 mitochondrial ribosomal protein L17,1
 mitochondrial ribosomal protein L18,1
 mitochondrial ribosomal protein L19,1
 cell division cycle 14A,1
 mitochondrial ribosomal protein S5,1
 mitochondrial ribosomal protein S6,1
 mitochondrial ribosomal protein S7,1
 mitochondrial ribosomal protein S9,1
 cell division cycle 7,1
 cell division cycle 5 like,1
 cell division cycle 45,1
 cell division cycle 40,1
" cell division cycle 37, HSP90 cochaperone",1
" cell division cycle 34, ubiqiutin conjugating enzyme",1
 cell division cycle 14B,1
 mitogen-activated protein kinase 15,1
 mitochondrial ribosomal protein S2,1
 cell adhesion molecule 3,1
 mitogen-activated protein kinase 4,1
 mitogen-activated protein kinase 6,1
 cell adhesion molecule 1,1
" cell adhesion associated, oncogene regulated",1
 mitogen-activated protein kinase 8 interacting protein 1,1
 mitogen-activated protein kinase 8 interacting protein 2,1
 mitogen-activated protein kinase 8 interacting protein 3,1
 caudal type homeobox 2,1
 cathepsin E,1
 catenin delta 2,1
 mitochondrial ribosomal protein S21,1
 mitochondrial ribosomal protein S18C,1
 mitochondrial ribosomal protein L2,1
 mitochondrial ribosomal protein L34,1
 mitochondrial ribosomal protein L20,1
 mitochondrial ribosomal protein L21,1
 mitochondrial ribosomal protein L22,1
 mitochondrial ribosomal protein L23,1
 mitochondrial ribosomal protein L24,1
 mitochondrial ribosomal protein L27,1
 mitochondrial ribosomal protein L28,1
 mitochondrial ribosomal protein L3,1
 mitochondrial ribosomal protein L30,1
 mitochondrial ribosomal protein L32,1
 mitochondrial ribosomal protein L33,1
 mitochondrial ribosomal protein L35,1
 mitochondrial ribosomal protein S18B,1
 mitochondrial ribosomal protein L36,1
 mitochondrial ribosomal protein L4,1
 mitochondrial ribosomal protein L9,1
 mitochondrial ribosomal protein S10,1
 mitochondrial ribosomal protein S11,1
 mitochondrial ribosomal protein S12,1
 mitochondrial ribosomal protein S14,1
 mitochondrial ribosomal protein S15,1
 mitochondrial ribosomal protein S16,1
 mitochondrial ribosomal protein S17,1
 mitochondrial ribosomal protein S18A,1
 complement factor H related 3,1
 lysyl-tRNA synthetase 1,1
 brain expressed associated with NEDD4 1,1
 importin 8,1
 insulin like growth factor 2 mRNA binding protein 1,1
 frataxin,1
 four and a half LIM domains 2,1
 insulin like growth factor binding protein acid labile subunit,1
 four and a half LIM domains 1,1
 formin homology 2 domain containing 1,1
 formin binding protein 1 like,1
 formin binding protein 1,1
 forkhead box P1,1
 forkhead box M1,1
 forkhead box G1,1
 forkhead box A3,1
 follistatin,1
 folliculin interacting protein 2,1
